,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
42,18.607,92.00,14.05,2016-11-24,13:57:39
43,17.826,91.14,14.3,2016-11-24,13:58:09
44,19.038,92.06,10.85,2016-11-24,13:58:40
45,19.712,90.45,14.28,2016-11-24,13:59:10
46,19.754,92.21,14.33,2016-11-24,13:59:40
47,22.427,88.81,7.4,2016-11-24,14:00:10
48,19.862,92.41,14.46,2016-11-24,14:00:41
49,18.858,92.25,14.25,2016-11-24,14:01:10
50,21.899,91.53,13.95,2016-11-24,14:01:40
51,19.482,91.09,13.7,2016-11-24,14:02:10
52,25.331,84.75,13.89,2016-11-24,14:02:40
53,19.632,92.42,14.23,2016-11-24,14:03:10
54,18.816,92.26,13.31,2016-11-24,14:03:40
55,20.994,92.00,14.06,2016-11-24,14:04:10
56,19.366,91.46,13.83,2016-11-24,14:04:40
57,18.014,90.88,14.09,2016-11-24,14:05:10
58,17.715,90.23,14.16,2016-11-24,14:05:40
59,20.273,91.82,14.18,2016-11-24,14:06:10
60,17.505,83.68,11.81,2016-11-24,14:06:40
61,20.7,88.98,13.96,2016-11-24,14:07:11
62,21.189,92.17,14.25,2016-11-24,14:07:41
63,21.28,91.80,13.8,2016-11-24,14:08:10
64,21.942,92.22,14.09,2016-11-24,14:08:41
65,21.935,91.83,14.04,2016-11-24,14:09:12
66,22.176,92.25,14.01,2016-11-24,14:09:41
67,20.493,91.81,14.3,2016-11-24,14:10:12
68,20.933,91.76,11.0,2016-11-24,14:10:41
69,22.627,91.79,14.28,2016-11-24,14:11:11
70,20.212,88.41,14.2,2016-11-24,14:11:41
71,20.465,90.03,14.05,2016-11-24,14:12:11
72,22.501,91.20,14.31,2016-11-24,14:12:42
73,21.149,91.98,13.84,2016-11-24,14:13:14
74,22.679,92.04,13.91,2016-11-24,14:13:44
75,20.85,92.04,13.93,2016-11-24,14:14:14
76,19.671,92.50,14.0,2016-11-24,14:14:43
77,21.312,91.17,14.22,2016-11-24,14:15:13
78,21.569,92.02,14.15,2016-11-24,14:15:43
79,23.272,92.31,14.11,2016-11-24,14:16:13
80,21.666,91.96,14.01,2016-11-24,14:16:44
81,18.758,91.36,14.05,2016-11-24,14:17:14
82,19.028,92.30,14.32,2016-11-24,14:17:44
83,19.764,89.20,13.8,2016-11-24,14:18:14
84,18.557,92.19,14.08,2016-11-24,14:18:44
85,22.456,87.69,10.02,2016-11-24,14:19:14
86,17.629,92.27,13.87,2016-11-24,14:19:50
87,19.136,92.25,13.98,2016-11-24,14:20:20
88,20.613,90.37,13.87,2016-11-24,14:20:52
89,19.783,90.88,14.07,2016-11-24,14:21:22
90,17.66,92.03,13.85,2016-11-24,14:21:52
91,22.224,91.72,13.64,2016-11-24,14:22:22
92,20.583,91.70,14.01,2016-11-24,14:22:52
93,18.076,89.82,13.96,2016-11-24,14:23:25
94,22.321,90.56,13.94,2016-11-24,14:23:55
95,21.325,87.97,13.49,2016-11-24,14:24:25
96,24.127,88.75,13.67,2016-11-24,14:24:55
97,20.6,90.74,14.07,2016-11-24,14:25:26
98,23.999,91.15,13.75,2016-11-24,14:25:58
99,18.905,91.64,14.09,2016-11-24,14:26:28
100,18.314,92.07,13.67,2016-11-24,14:26:58
101,19.381,89.03,13.66,2016-11-24,14:27:28
102,20.786,90.25,13.53,2016-11-24,14:27:59
103,20.707,91.49,14.02,2016-11-24,14:28:29
104,22.344,91.72,14.08,2016-11-24,14:28:59
105,22.241,92.35,14.29,2016-11-24,14:29:29
106,22.831,90.68,13.1,2016-11-24,14:29:59
107,25.202,89.80,14.08,2016-11-24,14:30:29
108,20.485,90.51,14.0,2016-11-24,14:30:59
109,21.81,91.39,13.97,2016-11-24,14:31:30
110,19.475,92.24,14.11,2016-11-24,14:32:00
111,18.487,92.33,14.34,2016-11-24,14:32:30
112,18.455,92.22,14.27,2016-11-24,14:32:59
113,19.053,92.28,14.03,2016-11-24,14:33:29
114,25.75,92.09,13.74,2016-11-24,14:33:59
115,21.786,91.76,13.91,2016-11-24,14:34:29
116,22.485,90.72,13.76,2016-11-24,14:34:59
117,24.378,91.46,13.97,2016-11-24,14:35:29
118,17.982,92.03,13.66,2016-11-24,14:36:06
119,22.381,90.17,13.99,2016-11-24,14:36:37
120,17.404,92.39,13.96,2016-11-24,14:37:07
121,17.221,91.33,14.32,2016-11-24,14:37:37
122,19.506,92.16,13.84,2016-11-24,14:38:07
123,18.704,91.85,13.81,2016-11-24,14:38:37
124,20.812,92.60,13.86,2016-11-24,14:39:07
125,20.928,91.60,13.64,2016-11-24,14:39:37
126,22.561,86.31,13.56,2016-11-24,14:40:07
127,21.889,91.20,14.11,2016-11-24,14:40:37
128,21.047,91.95,14.12,2016-11-24,14:41:08
129,17.954,92.06,14.15,2016-11-24,14:41:38
130,18.193,92.38,14.39,2016-11-24,14:42:08
131,23.33,91.29,14.19,2016-11-24,14:42:40
132,20.805,92.26,14.5,2016-11-24,14:43:11
133,20.67,92.32,14.05,2016-11-24,14:43:42
134,18.251,90.87,13.83,2016-11-24,14:44:12
135,19.772,92.56,14.0,2016-11-24,14:44:42
136,19.44,92.21,14.25,2016-11-24,14:45:13
137,23.605,91.33,13.26,2016-11-24,14:45:43
138,21.145,91.82,14.43,2016-11-24,14:46:13
139,19.755,91.21,14.36,2016-11-24,14:46:46
140,20.073,91.91,14.32,2016-11-24,14:47:15
141,18.29,92.02,14.04,2016-11-24,14:47:45
142,21.117,91.79,14.2,2016-11-24,14:48:15
143,20.077,91.94,14.09,2016-11-24,14:48:45
144,19.254,92.13,14.47,2016-11-24,14:49:15
145,17.752,89.36,13.79,2016-11-24,14:49:45
146,19.511,92.31,13.98,2016-11-24,14:50:15
147,17.377,89.80,14.38,2016-11-24,14:50:50
148,19.755,92.02,13.98,2016-11-24,14:51:20
149,20.084,91.30,14.21,2016-11-24,14:51:50
150,21.723,91.95,14.11,2016-11-24,14:52:20
151,19.317,92.38,13.73,2016-11-24,14:52:55
152,17.082,92.25,13.93,2016-11-24,14:53:25
153,17.574,91.98,14.3,2016-11-24,14:53:55
154,20.555,92.16,14.16,2016-11-24,14:54:25
155,20.322,91.97,14.41,2016-11-24,14:54:55
156,19.424,91.67,14.33,2016-11-24,14:55:25
157,19.423,90.08,13.87,2016-11-24,14:55:54
158,22.679,88.99,14.23,2016-11-24,14:56:24
159,23.688,90.98,14.02,2016-11-24,14:56:54
160,19.557,91.82,14.11,2016-11-24,14:57:24
161,18.818,58.48,13.72,2016-11-24,14:57:55
162,17.648,88.68,14.25,2016-11-24,14:58:24
163,18.766,92.64,14.16,2016-11-24,14:58:54
164,19.591,83.73,14.24,2016-11-24,14:59:24
165,24.292,91.74,14.04,2016-11-24,14:59:55
166,55.86,91.57,14.22,2016-11-24,15:00:25
167,21.093,91.58,14.26,2016-11-24,15:00:57
168,17.416,89.49,14.27,2016-11-24,15:01:27
169,18.155,91.34,13.9,2016-11-24,15:02:01
170,19.995,91.91,14.29,2016-11-24,15:02:31
171,19.726,91.99,14.46,2016-11-24,15:03:01
172,26.347,90.96,14.29,2016-11-24,15:03:31
173,21.724,90.93,14.29,2016-11-24,15:04:01
174,20.31,91.99,14.08,2016-11-24,15:04:31
175,18.902,92.13,14.15,2016-11-24,15:05:00
176,19.73,91.90,13.66,2016-11-24,15:05:30
177,19.952,74.31,14.41,2016-11-24,15:06:01
178,19.048,91.82,14.34,2016-11-24,15:06:33
179,20.056,91.70,14.16,2016-11-24,15:07:04
180,20.592,91.73,14.23,2016-11-24,15:07:34
181,23.398,91.87,14.25,2016-11-24,15:08:04
182,19.048,92.35,14.26,2016-11-24,15:08:34
183,18.941,92.12,13.98,2016-11-24,15:09:04
184,20.026,91.77,14.15,2016-11-24,15:09:34
185,18.891,91.99,14.13,2016-11-24,15:10:04
186,21.565,92.13,12.84,2016-11-24,15:10:34
187,20.573,92.15,13.81,2016-11-24,15:11:05
188,18.532,91.97,13.36,2016-11-24,15:11:36
189,20.694,91.95,13.56,2016-11-24,15:12:06
190,19.762,91.30,13.76,2016-11-24,15:12:37
191,17.32,91.76,13.62,2016-11-24,15:13:07
192,23.625,92.25,13.63,2016-11-24,15:13:37
193,18.992,92.01,13.79,2016-11-24,15:14:07
194,19.485,90.93,14.0,2016-11-24,15:14:37
195,18.498,91.97,13.46,2016-11-24,15:15:07
196,24.064,92.70,13.11,2016-11-24,15:15:45
197,21.577,91.97,13.87,2016-11-24,15:16:15
198,20.588,90.87,13.54,2016-11-24,15:16:45
199,21.084,91.94,13.42,2016-11-24,15:17:15
200,19.706,92.72,13.93,2016-11-24,15:17:45
201,18.141,91.92,13.9,2016-11-24,15:18:15
202,23.539,91.83,14.06,2016-11-24,15:18:44
203,19.633,91.40,13.94,2016-11-24,15:19:14
204,19.139,91.39,14.11,2016-11-24,15:19:44
205,18.941,92.62,13.25,2016-11-24,15:20:14
206,20.859,91.30,13.32,2016-11-24,15:20:44
207,20.273,92.22,13.68,2016-11-24,15:21:14
208,23.112,83.14,13.87,2016-11-24,15:21:44
209,25.45,90.90,13.57,2016-11-24,15:22:15
210,17.727,92.39,13.69,2016-11-24,15:22:47
211,21.293,92.12,13.61,2016-11-24,15:23:17
212,24.47,68.87,14.01,2016-11-24,15:23:47
213,20.256,91.14,14.08,2016-11-24,15:24:20
214,21.197,91.99,14.53,2016-11-24,15:24:50
215,21.164,92.07,14.06,2016-11-24,15:25:20
216,19.546,92.00,14.29,2016-11-24,15:25:50
217,16.167,91.59,13.8,2016-11-24,15:26:20
218,16.774,90.36,14.42,2016-11-24,15:26:50
219,21.436,91.54,14.29,2016-11-24,15:27:20
220,20.84,92.79,13.65,2016-11-24,15:27:50
221,18.484,92.64,14.23,2016-11-24,15:28:20
222,21.908,92.12,14.06,2016-11-24,15:28:50
223,18.861,91.86,14.03,2016-11-24,15:29:20
224,21.869,92.53,13.78,2016-11-24,15:29:51
225,20.83,90.79,14.08,2016-11-24,15:30:21
226,24.636,91.44,14.06,2016-11-24,15:30:51
227,22.266,91.64,13.61,2016-11-24,15:31:21
228,20.182,91.77,14.26,2016-11-24,15:31:51
229,21.307,89.33,14.24,2016-11-24,15:32:25
230,22.421,92.73,14.41,2016-11-24,15:32:55
231,22.71,92.63,13.89,2016-11-24,15:33:25
232,19.109,92.57,14.07,2016-11-24,15:33:55
233,19.926,91.35,14.07,2016-11-24,15:34:24
234,20.826,91.02,14.42,2016-11-24,15:34:55
235,20.169,90.25,14.22,2016-11-24,15:35:25
236,20.888,90.62,13.85,2016-11-24,15:35:54
237,22.072,92.58,14.18,2016-11-24,15:36:24
238,23.593,91.75,13.92,2016-11-24,15:36:54
239,20.318,92.25,13.37,2016-11-24,15:37:24
240,20.096,90.84,12.62,2016-11-24,15:37:54
241,18.27,91.77,13.61,2016-11-24,15:38:24
242,23.366,91.58,13.39,2016-11-24,15:38:54
243,18.957,74.46,8.93,2016-11-24,15:39:25
244,20.018,92.23,13.31,2016-11-24,15:39:57
245,18.813,92.54,13.34,2016-11-24,15:40:29
246,22.802,91.66,13.74,2016-11-24,15:41:00
247,21.964,91.39,13.39,2016-11-24,15:41:30
248,20.904,91.30,13.53,2016-11-24,15:42:00
249,21.791,91.84,13.49,2016-11-24,15:42:30
250,22.561,87.06,13.75,2016-11-24,15:43:00
251,21.989,89.06,13.44,2016-11-24,15:43:31
252,22.062,91.90,13.19,2016-11-24,15:44:01
253,21.956,91.10,13.33,2016-11-24,15:44:30
254,21.57,91.71,13.37,2016-11-24,15:45:01
255,20.813,91.57,13.0,2016-11-24,15:45:31
256,25.526,87.11,12.93,2016-11-24,15:46:01
257,22.65,90.36,13.33,2016-11-24,15:46:31
258,26.578,91.27,12.98,2016-11-24,15:47:01
259,20.98,91.07,13.04,2016-11-24,15:47:31
260,25.114,92.52,13.1,2016-11-24,15:48:01
261,20.359,91.69,12.35,2016-11-24,15:48:37
262,20.882,91.58,13.19,2016-11-24,15:49:10
263,17.355,91.87,13.87,2016-11-24,15:49:40
264,20.452,88.01,13.81,2016-11-24,15:50:10
265,19.984,91.94,13.71,2016-11-24,15:50:40
266,22.797,91.10,13.54,2016-11-24,15:51:10
267,21.321,92.17,13.39,2016-11-24,15:51:40
268,18.615,91.49,13.51,2016-11-24,15:52:12
269,20.308,85.49,13.5,2016-11-24,15:52:42
270,19.031,92.22,13.65,2016-11-24,15:53:18
271,17.851,92.25,13.59,2016-11-24,15:53:54
272,18.256,91.74,13.7,2016-11-24,15:54:24
273,17.273,92.14,13.64,2016-11-24,15:54:54
274,22.798,90.26,13.53,2016-11-24,15:55:24
275,20.749,89.98,13.56,2016-11-24,15:55:54
276,20.517,91.89,13.36,2016-11-24,15:56:24
277,18.083,91.77,14.01,2016-11-24,15:56:54
278,21.554,92.16,13.95,2016-11-24,15:57:24
279,19.645,92.10,14.24,2016-11-24,15:57:54
280,22.01,90.77,13.44,2016-11-24,15:58:24
281,22.089,88.43,13.31,2016-11-24,15:58:53
282,18.988,89.46,13.18,2016-11-24,15:59:24
283,19.109,91.88,13.22,2016-11-24,15:59:54
284,19.236,92.21,9.7,2016-11-24,16:00:24
285,23.349,92.34,13.4,2016-11-24,16:00:56
286,21.709,91.79,13.73,2016-11-24,16:01:26
287,21.174,91.94,13.64,2016-11-24,16:01:56
288,18.41,92.16,13.17,2016-11-24,16:02:26
289,22.199,90.40,13.55,2016-11-24,16:02:56
290,25.04,91.09,13.16,2016-11-24,16:03:29
291,20.122,91.69,13.38,2016-11-24,16:04:00
292,21.772,91.93,13.42,2016-11-24,16:04:30
293,18.295,91.92,13.2,2016-11-24,16:05:00
294,21.232,91.16,13.04,2016-11-24,16:05:30
295,20.565,87.69,13.21,2016-11-24,16:06:00
296,21.546,92.13,13.25,2016-11-24,16:06:30
297,18.059,91.93,13.07,2016-11-24,16:07:00
298,21.004,92.24,13.34,2016-11-24,16:07:30
299,21.31,91.99,13.38,2016-11-24,16:08:00
300,23.978,91.77,13.45,2016-11-24,16:08:30
301,21.924,91.31,13.37,2016-11-24,16:09:00
302,20.669,91.60,13.46,2016-11-24,16:09:31
303,21.775,92.30,13.64,2016-11-24,16:10:01
304,20.942,90.54,13.33,2016-11-24,16:10:31
305,21.843,90.97,12.41,2016-11-24,16:11:01
306,21.906,90.08,13.06,2016-11-24,16:11:31
307,23.331,88.60,12.46,2016-11-24,16:12:01
308,22.569,91.68,13.14,2016-11-24,16:12:31
309,17.265,91.89,13.25,2016-11-24,16:13:02
310,18.967,91.98,12.73,2016-11-24,16:13:32
311,19.44,92.64,12.79,2016-11-24,16:14:02
312,20.452,92.61,13.98,2016-11-24,16:14:33
313,19.496,88.72,12.96,2016-11-24,16:15:02
314,23.168,92.59,11.72,2016-11-24,16:15:36
315,20.149,90.09,12.78,2016-11-24,16:16:06
316,20.882,91.76,13.31,2016-11-24,16:16:37
317,18.078,91.12,12.56,2016-11-24,16:17:07
318,17.782,91.59,12.9,2016-11-24,16:17:38
319,17.791,91.16,12.21,2016-11-24,16:18:08
320,18.988,92.35,12.24,2016-11-24,16:18:47
321,22.42,91.64,13.1,2016-11-24,16:19:17
322,20.09,90.18,12.17,2016-11-24,16:19:47
323,19.617,92.56,12.12,2016-11-24,16:20:17
324,21.881,92.11,13.29,2016-11-24,16:20:50
325,27.408,92.18,13.95,2016-11-24,16:21:21
326,19.746,92.59,13.86,2016-11-24,16:21:54
327,19.294,90.28,14.14,2016-11-24,16:22:24
328,16.853,91.57,12.94,2016-11-24,16:22:54
329,20.168,91.92,14.15,2016-11-24,16:23:26
330,20.841,90.92,13.58,2016-11-24,16:23:56
331,18.108,91.26,13.93,2016-11-24,16:24:26
332,18.108,91.39,14.29,2016-11-24,16:24:56
333,19.962,91.44,14.17,2016-11-24,16:25:25
334,19.377,92.82,13.88,2016-11-24,16:25:55
335,23.496,88.94,14.14,2016-11-24,16:26:25
336,21.449,90.21,13.83,2016-11-24,16:26:54
337,20.348,92.36,12.74,2016-11-24,16:27:24
338,19.203,92.78,13.52,2016-11-24,16:27:54
339,18.927,92.47,13.25,2016-11-24,16:28:24
340,19.406,91.51,13.92,2016-11-24,16:28:55
341,19.115,92.17,14.42,2016-11-24,16:29:25
342,19.294,92.52,14.51,2016-11-24,16:29:54
343,21.279,92.36,13.77,2016-11-24,16:30:24
344,22.478,92.23,14.32,2016-11-24,16:30:54
345,19.819,92.36,14.06,2016-11-24,16:31:24
346,22.343,92.76,14.18,2016-11-24,16:31:54
347,19.914,91.83,14.05,2016-11-24,16:32:24
348,17.355,91.17,14.48,2016-11-24,16:32:54
349,18.756,90.09,14.47,2016-11-24,16:33:24
350,20.576,91.89,14.14,2016-11-24,16:33:54
351,18.652,92.48,13.85,2016-11-24,16:34:24
352,19.985,92.25,13.98,2016-11-24,16:34:56
353,18.769,88.16,13.88,2016-11-24,16:35:26
354,21.599,92.08,14.23,2016-11-24,16:35:56
355,21.475,91.64,14.23,2016-11-24,16:36:27
356,19.02,92.49,13.99,2016-11-24,16:36:57
357,19.27,92.08,14.31,2016-11-24,16:37:27
358,19.308,90.85,14.25,2016-11-24,16:37:57
359,22.888,90.61,14.17,2016-11-24,16:38:27
360,20.148,91.76,14.04,2016-11-24,16:38:57
361,23.361,90.64,14.16,2016-11-24,16:39:27
362,19.024,92.32,14.54,2016-11-24,16:39:57
363,18.896,92.47,14.34,2016-11-24,16:40:27
364,22.571,91.68,14.06,2016-11-24,16:40:57
365,22.136,92.22,13.94,2016-11-24,16:41:27
366,19.885,89.86,14.23,2016-11-24,16:41:57
367,18.199,92.29,10.9,2016-11-24,16:42:27
368,25.933,90.30,13.76,2016-11-24,16:43:00
369,20.068,91.77,14.24,2016-11-24,16:43:30
370,19.33,92.20,14.35,2016-11-24,16:44:00
371,22.246,90.51,14.04,2016-11-24,16:44:30
372,22.346,91.50,13.6,2016-11-24,16:45:01
373,21.009,91.69,13.99,2016-11-24,16:45:31
374,21.801,92.41,9.77,2016-11-24,16:46:01
375,18.76,92.19,13.88,2016-11-24,16:46:35
376,20.999,92.24,13.33,2016-11-24,16:47:05
377,19.565,89.07,13.64,2016-11-24,16:47:35
378,25.274,90.66,14.01,2016-11-24,16:48:05
379,19.283,90.69,13.33,2016-11-24,16:48:35
380,22.689,90.53,13.3,2016-11-24,16:49:05
381,27.662,88.17,10.63,2016-11-24,16:49:35
382,17.921,89.84,14.08,2016-11-24,16:50:06
383,20.452,91.61,14.21,2016-11-24,16:50:35
384,19.624,91.10,13.25,2016-11-24,16:51:05
385,18.44,92.65,13.84,2016-11-24,16:51:36
386,24.559,89.87,13.61,2016-11-24,16:52:05
387,19.596,89.31,13.46,2016-11-24,16:52:36
388,22.922,92.58,13.07,2016-11-24,16:53:05
389,23.236,92.03,13.74,2016-11-24,16:53:36
390,26.869,92.05,13.92,2016-11-24,16:54:05
391,22.181,92.16,13.97,2016-11-24,16:54:39
392,21.874,87.18,13.71,2016-11-24,16:55:11
393,20.038,91.79,14.14,2016-11-24,16:55:41
394,21.667,91.76,14.07,2016-11-24,16:56:13
395,19.829,92.40,14.32,2016-11-24,16:56:43
396,21.561,92.23,14.38,2016-11-24,16:57:13
397,21.492,89.93,14.01,2016-11-24,16:57:43
398,21.665,91.39,13.47,2016-11-24,16:58:12
399,20.753,87.70,13.95,2016-11-24,16:58:47
400,20.777,90.52,14.12,2016-11-24,16:59:17
401,17.827,92.85,12.75,2016-11-24,16:59:47
402,22.945,90.89,10.32,2016-11-24,17:00:17
403,24.298,84.78,14.1,2016-11-24,17:00:49
404,23.326,91.54,13.81,2016-11-24,17:01:19
405,23.231,90.99,13.54,2016-11-24,17:01:49
406,20.442,92.86,14.03,2016-11-24,17:02:19
407,20.8,92.87,13.98,2016-11-24,17:02:49
408,22.576,89.72,13.24,2016-11-24,17:03:19
409,21.782,59.71,13.69,2016-11-24,17:03:49
410,20.116,92.64,14.13,2016-11-24,17:04:19
411,17.957,91.90,14.05,2016-11-24,17:04:49
412,21.972,75.13,14.39,2016-11-24,17:05:21
413,20.029,92.59,14.22,2016-11-24,17:05:53
414,22.818,90.70,13.91,2016-11-24,17:06:23
415,21.137,92.39,14.36,2016-11-24,17:06:53
416,18.715,87.05,14.51,2016-11-24,17:07:23
417,21.525,92.27,14.46,2016-11-24,17:07:53
418,22.539,89.43,14.1,2016-11-24,17:08:23
419,20.492,91.57,14.04,2016-11-24,17:08:54
420,21.133,91.77,13.4,2016-11-24,17:09:23
421,19.242,89.64,13.46,2016-11-24,17:09:53
422,22.424,92.48,12.97,2016-11-24,17:10:23
423,26.1,91.59,13.34,2016-11-24,17:10:53
424,20.906,92.65,13.87,2016-11-24,17:11:24
425,18.261,91.82,14.24,2016-11-24,17:11:56
426,17.306,92.21,14.06,2016-11-24,17:12:25
427,19.516,92.62,14.09,2016-11-24,17:12:56
428,23.181,92.09,14.03,2016-11-24,17:13:25
429,18.527,90.63,13.88,2016-11-24,17:13:55
430,21.381,92.42,13.95,2016-11-24,17:14:26
431,28.074,90.22,14.07,2016-11-24,17:14:55
432,19.97,73.08,13.92,2016-11-24,17:15:25
433,18.716,90.04,14.34,2016-11-24,17:15:57
434,17.808,92.61,13.92,2016-11-24,17:16:27
435,20.901,92.51,13.96,2016-11-24,17:16:57
436,20.174,92.42,14.17,2016-11-24,17:17:27
437,19.41,92.51,14.45,2016-11-24,17:17:57
438,21.159,92.04,13.68,2016-11-24,17:18:26
439,20.884,91.68,13.59,2016-11-24,17:18:57
440,19.361,92.78,14.02,2016-11-24,17:19:26
441,19.876,91.30,14.13,2016-11-24,17:19:56
442,18.166,92.02,13.98,2016-11-24,17:20:26
443,19.458,91.07,14.18,2016-11-24,17:20:56
444,19.117,91.26,13.78,2016-11-24,17:21:26
445,19.55,91.95,13.19,2016-11-24,17:21:56
446,20.761,91.77,13.74,2016-11-24,17:22:28
447,20.058,91.57,13.69,2016-11-24,17:22:58
448,18.755,92.32,13.6,2016-11-24,17:23:28
449,19.283,88.73,13.75,2016-11-24,17:23:59
450,30.099,87.21,13.58,2016-11-24,17:24:29
451,24.125,91.68,14.02,2016-11-24,17:25:04
452,20.012,92.05,14.24,2016-11-24,17:25:34
453,23.519,91.84,13.8,2016-11-24,17:26:05
454,17.702,92.60,14.18,2016-11-24,17:26:35
455,20.02,91.82,13.78,2016-11-24,17:27:05
456,19.83,91.07,14.08,2016-11-24,17:27:34
457,23.013,92.07,13.84,2016-11-24,17:28:05
458,21.437,90.40,14.22,2016-11-24,17:28:35
459,19.121,91.86,13.99,2016-11-24,17:29:05
460,22.998,91.89,12.3,2016-11-24,17:29:36
461,76.528,91.42,9.21,2016-11-24,17:30:06
462,66.9,88.89,7.73,2016-11-24,17:30:43
463,62.229,90.37,8.21,2016-11-24,17:31:15
464,62.836,91.56,6.21,2016-11-24,17:31:47
465,56.454,80.52,8.21,2016-11-24,17:32:18
466,44.51,91.38,14.24,2016-11-24,17:32:50
467,21.168,91.33,14.16,2016-11-24,17:33:24
468,18.95,91.77,14.11,2016-11-24,17:33:54
469,20.068,92.27,13.84,2016-11-24,17:34:24
470,22.003,90.48,14.11,2016-11-24,17:34:54
471,22.341,89.54,13.14,2016-11-24,17:35:24
472,22.414,91.48,14.19,2016-11-24,17:35:53
473,19.366,92.48,13.78,2016-11-24,17:36:23
474,18.854,91.63,14.05,2016-11-24,17:36:53
475,18.137,92.32,14.33,2016-11-24,17:37:23
476,23.203,92.35,13.84,2016-11-24,17:37:53
477,25.659,90.97,14.11,2016-11-24,17:38:23
478,21.342,91.75,14.25,2016-11-24,17:38:53
479,19.416,89.66,14.27,2016-11-24,17:39:22
480,20.924,91.57,14.49,2016-11-24,17:39:53
481,18.632,91.99,13.89,2016-11-24,17:40:22
482,21.057,92.24,14.31,2016-11-24,17:40:55
483,25.258,92.31,13.78,2016-11-24,17:41:25
484,21.565,91.53,14.26,2016-11-24,17:41:55
485,20.514,92.27,13.76,2016-11-24,17:42:25
486,21.027,90.41,13.6,2016-11-24,17:43:01
487,19.978,91.70,14.03,2016-11-24,17:43:31
488,17.708,91.62,14.3,2016-11-24,17:44:01
489,21.897,88.53,14.27,2016-11-24,17:44:31
490,20.145,92.39,14.15,2016-11-24,17:45:01
491,20.559,91.75,14.12,2016-11-24,17:45:31
492,20.27,92.37,14.09,2016-11-24,17:46:00
493,19.548,89.24,14.16,2016-11-24,17:46:30
494,19.444,72.95,13.76,2016-11-24,17:47:00
495,20.496,92.41,13.4,2016-11-24,17:47:32
496,17.816,92.41,13.68,2016-11-24,17:48:02
497,20.223,92.27,13.88,2016-11-24,17:48:32
498,20.649,90.04,13.89,2016-11-24,17:49:04
499,21.587,90.40,13.87,2016-11-24,17:49:34
500,20.607,92.12,14.21,2016-11-24,17:50:07
501,18.599,91.89,14.04,2016-11-24,17:50:37
502,21.216,91.05,14.04,2016-11-24,17:51:07
503,19.968,89.19,14.07,2016-11-24,17:51:37
504,20.245,92.02,14.06,2016-11-24,17:52:07
505,20.592,92.59,13.76,2016-11-24,17:52:37
506,20.502,91.11,13.88,2016-11-24,17:53:07
507,18.1,89.88,14.18,2016-11-24,17:53:37
508,18.842,92.01,13.93,2016-11-24,17:54:08
509,18.914,90.04,14.13,2016-11-24,17:54:38
510,19.557,90.50,14.13,2016-11-24,17:55:08
511,20.483,92.08,14.14,2016-11-24,17:55:37
512,19.929,90.45,13.95,2016-11-24,17:56:11
513,20.102,91.52,14.16,2016-11-24,17:56:41
514,20.588,90.18,14.31,2016-11-24,17:57:13
