Upload (Mbit/s),Date,Time,Ping (ms),Download (Mbit/s)
13.67,2016-11-24,14:24:55,24.127,88.75
14.07,2016-11-24,14:25:26,20.6,90.74
13.75,2016-11-24,14:25:58,23.999,91.15
14.09,2016-11-24,14:26:28,18.905,91.64
13.67,2016-11-24,14:26:58,18.314,92.07
13.66,2016-11-24,14:27:28,19.381,89.03
13.53,2016-11-24,14:27:59,20.786,90.25
14.02,2016-11-24,14:28:29,20.707,91.49
14.08,2016-11-24,14:28:59,22.344,91.72
14.29,2016-11-24,14:29:29,22.241,92.35
13.1,2016-11-24,14:29:59,22.831,90.68
14.08,2016-11-24,14:30:29,25.202,89.8
14.0,2016-11-24,14:30:59,20.485,90.51
13.97,2016-11-24,14:31:30,21.81,91.39
14.11,2016-11-24,14:32:00,19.475,92.24
14.34,2016-11-24,14:32:30,18.487,92.33
14.27,2016-11-24,14:32:59,18.455,92.22
14.03,2016-11-24,14:33:29,19.053,92.28
13.74,2016-11-24,14:33:59,25.75,92.09
13.91,2016-11-24,14:34:29,21.786,91.76
13.76,2016-11-24,14:34:59,22.485,90.72
13.97,2016-11-24,14:35:29,24.378,91.46
13.66,2016-11-24,14:36:06,17.982,92.03
13.99,2016-11-24,14:36:37,22.381,90.17
13.96,2016-11-24,14:37:07,17.404,92.39
14.32,2016-11-24,14:37:37,17.221,91.33
13.84,2016-11-24,14:38:07,19.506,92.16
13.81,2016-11-24,14:38:37,18.704,91.85
13.86,2016-11-24,14:39:07,20.812,92.6
13.64,2016-11-24,14:39:37,20.928,91.6
13.56,2016-11-24,14:40:07,22.561,86.31
14.11,2016-11-24,14:40:37,21.889,91.2
14.12,2016-11-24,14:41:08,21.047,91.95
14.15,2016-11-24,14:41:38,17.954,92.06
14.39,2016-11-24,14:42:08,18.193,92.38
14.19,2016-11-24,14:42:40,23.33,91.29
14.5,2016-11-24,14:43:11,20.805,92.26
14.05,2016-11-24,14:43:42,20.67,92.32
13.83,2016-11-24,14:44:12,18.251,90.87
14.0,2016-11-24,14:44:42,19.772,92.56
14.25,2016-11-24,14:45:13,19.44,92.21
13.26,2016-11-24,14:45:43,23.605,91.33
14.43,2016-11-24,14:46:13,21.145,91.82
14.36,2016-11-24,14:46:46,19.755,91.21
14.32,2016-11-24,14:47:15,20.073,91.91
14.04,2016-11-24,14:47:45,18.29,92.02
14.2,2016-11-24,14:48:15,21.117,91.79
14.09,2016-11-24,14:48:45,20.077,91.94
14.47,2016-11-24,14:49:15,19.254,92.13
13.79,2016-11-24,14:49:45,17.752,89.36
13.98,2016-11-24,14:50:15,19.511,92.31
14.38,2016-11-24,14:50:50,17.377,89.8
13.98,2016-11-24,14:51:20,19.755,92.02
14.21,2016-11-24,14:51:50,20.084,91.3
14.11,2016-11-24,14:52:20,21.723,91.95
13.73,2016-11-24,14:52:55,19.317,92.38
13.93,2016-11-24,14:53:25,17.082,92.25
14.3,2016-11-24,14:53:55,17.574,91.98
14.16,2016-11-24,14:54:25,20.555,92.16
14.41,2016-11-24,14:54:55,20.322,91.97
14.33,2016-11-24,14:55:25,19.424,91.67
13.87,2016-11-24,14:55:54,19.423,90.08
14.23,2016-11-24,14:56:24,22.679,88.99
14.02,2016-11-24,14:56:54,23.688,90.98
14.11,2016-11-24,14:57:24,19.557,91.82
13.72,2016-11-24,14:57:55,18.818,58.48
14.25,2016-11-24,14:58:24,17.648,88.68
14.16,2016-11-24,14:58:54,18.766,92.64
14.24,2016-11-24,14:59:24,19.591,83.73
14.04,2016-11-24,14:59:55,24.292,91.74
14.22,2016-11-24,15:00:25,55.86,91.57
14.26,2016-11-24,15:00:57,21.093,91.58
14.27,2016-11-24,15:01:27,17.416,89.49
13.9,2016-11-24,15:02:01,18.155,91.34
14.29,2016-11-24,15:02:31,19.995,91.91
14.46,2016-11-24,15:03:01,19.726,91.99
14.29,2016-11-24,15:03:31,26.347,90.96
14.29,2016-11-24,15:04:01,21.724,90.93
14.08,2016-11-24,15:04:31,20.31,91.99
14.15,2016-11-24,15:05:00,18.902,92.13
13.66,2016-11-24,15:05:30,19.73,91.9
14.41,2016-11-24,15:06:01,19.952,74.31
14.34,2016-11-24,15:06:33,19.048,91.82
14.16,2016-11-24,15:07:04,20.056,91.7
14.23,2016-11-24,15:07:34,20.592,91.73
14.25,2016-11-24,15:08:04,23.398,91.87
14.26,2016-11-24,15:08:34,19.048,92.35
13.98,2016-11-24,15:09:04,18.941,92.12
14.15,2016-11-24,15:09:34,20.026,91.77
14.13,2016-11-24,15:10:04,18.891,91.99
12.84,2016-11-24,15:10:34,21.565,92.13
13.81,2016-11-24,15:11:05,20.573,92.15
13.36,2016-11-24,15:11:36,18.532,91.97
13.56,2016-11-24,15:12:06,20.694,91.95
13.76,2016-11-24,15:12:37,19.762,91.3
13.62,2016-11-24,15:13:07,17.32,91.76
13.63,2016-11-24,15:13:37,23.625,92.25
13.79,2016-11-24,15:14:07,18.992,92.01
14.0,2016-11-24,15:14:37,19.485,90.93
13.46,2016-11-24,15:15:07,18.498,91.97
13.11,2016-11-24,15:15:45,24.064,92.7
13.87,2016-11-24,15:16:15,21.577,91.97
13.54,2016-11-24,15:16:45,20.588,90.87
13.42,2016-11-24,15:17:15,21.084,91.94
13.93,2016-11-24,15:17:45,19.706,92.72
13.9,2016-11-24,15:18:15,18.141,91.92
14.06,2016-11-24,15:18:44,23.539,91.83
13.94,2016-11-24,15:19:14,19.633,91.4
14.11,2016-11-24,15:19:44,19.139,91.39
13.25,2016-11-24,15:20:14,18.941,92.62
13.32,2016-11-24,15:20:44,20.859,91.3
13.68,2016-11-24,15:21:14,20.273,92.22
13.87,2016-11-24,15:21:44,23.112,83.14
13.57,2016-11-24,15:22:15,25.45,90.9
13.69,2016-11-24,15:22:47,17.727,92.39
13.61,2016-11-24,15:23:17,21.293,92.12
14.01,2016-11-24,15:23:47,24.47,68.87
14.08,2016-11-24,15:24:20,20.256,91.14
14.53,2016-11-24,15:24:50,21.197,91.99
14.06,2016-11-24,15:25:20,21.164,92.07
14.29,2016-11-24,15:25:50,19.546,92.0
13.8,2016-11-24,15:26:20,16.167,91.59
14.42,2016-11-24,15:26:50,16.774,90.36
14.29,2016-11-24,15:27:20,21.436,91.54
13.65,2016-11-24,15:27:50,20.84,92.79
14.23,2016-11-24,15:28:20,18.484,92.64
14.06,2016-11-24,15:28:50,21.908,92.12
14.03,2016-11-24,15:29:20,18.861,91.86
13.78,2016-11-24,15:29:51,21.869,92.53
14.08,2016-11-24,15:30:21,20.83,90.79
14.06,2016-11-24,15:30:51,24.636,91.44
13.61,2016-11-24,15:31:21,22.266,91.64
14.26,2016-11-24,15:31:51,20.182,91.77
14.24,2016-11-24,15:32:25,21.307,89.33
14.41,2016-11-24,15:32:55,22.421,92.73
13.89,2016-11-24,15:33:25,22.71,92.63
14.07,2016-11-24,15:33:55,19.109,92.57
14.07,2016-11-24,15:34:24,19.926,91.35
14.42,2016-11-24,15:34:55,20.826,91.02
14.22,2016-11-24,15:35:25,20.169,90.25
13.85,2016-11-24,15:35:54,20.888,90.62
14.18,2016-11-24,15:36:24,22.072,92.58
13.92,2016-11-24,15:36:54,23.593,91.75
13.37,2016-11-24,15:37:24,20.318,92.25
12.62,2016-11-24,15:37:54,20.096,90.84
13.61,2016-11-24,15:38:24,18.27,91.77
13.39,2016-11-24,15:38:54,23.366,91.58
8.93,2016-11-24,15:39:25,18.957,74.46
13.31,2016-11-24,15:39:57,20.018,92.23
13.34,2016-11-24,15:40:29,18.813,92.54
13.74,2016-11-24,15:41:00,22.802,91.66
13.39,2016-11-24,15:41:30,21.964,91.39
13.53,2016-11-24,15:42:00,20.904,91.3
13.49,2016-11-24,15:42:30,21.791,91.84
13.75,2016-11-24,15:43:00,22.561,87.06
13.44,2016-11-24,15:43:31,21.989,89.06
13.19,2016-11-24,15:44:01,22.062,91.9
13.33,2016-11-24,15:44:30,21.956,91.1
13.37,2016-11-24,15:45:01,21.57,91.71
13.0,2016-11-24,15:45:31,20.813,91.57
12.93,2016-11-24,15:46:01,25.526,87.11
13.33,2016-11-24,15:46:31,22.65,90.36
12.98,2016-11-24,15:47:01,26.578,91.27
13.04,2016-11-24,15:47:31,20.98,91.07
13.1,2016-11-24,15:48:01,25.114,92.52
12.35,2016-11-24,15:48:37,20.359,91.69
13.19,2016-11-24,15:49:10,20.882,91.58
13.87,2016-11-24,15:49:40,17.355,91.87
13.81,2016-11-24,15:50:10,20.452,88.01
13.71,2016-11-24,15:50:40,19.984,91.94
13.54,2016-11-24,15:51:10,22.797,91.1
13.39,2016-11-24,15:51:40,21.321,92.17
13.51,2016-11-24,15:52:12,18.615,91.49
13.5,2016-11-24,15:52:42,20.308,85.49
13.65,2016-11-24,15:53:18,19.031,92.22
13.59,2016-11-24,15:53:54,17.851,92.25
13.7,2016-11-24,15:54:24,18.256,91.74
13.64,2016-11-24,15:54:54,17.273,92.14
13.53,2016-11-24,15:55:24,22.798,90.26
13.56,2016-11-24,15:55:54,20.749,89.98
13.36,2016-11-24,15:56:24,20.517,91.89
14.01,2016-11-24,15:56:54,18.083,91.77
13.95,2016-11-24,15:57:24,21.554,92.16
14.24,2016-11-24,15:57:54,19.645,92.1
13.44,2016-11-24,15:58:24,22.01,90.77
13.31,2016-11-24,15:58:53,22.089,88.43
13.18,2016-11-24,15:59:24,18.988,89.46
13.22,2016-11-24,15:59:54,19.109,91.88
9.7,2016-11-24,16:00:24,19.236,92.21
13.4,2016-11-24,16:00:56,23.349,92.34
13.73,2016-11-24,16:01:26,21.709,91.79
13.64,2016-11-24,16:01:56,21.174,91.94
13.17,2016-11-24,16:02:26,18.41,92.16
13.55,2016-11-24,16:02:56,22.199,90.4
13.16,2016-11-24,16:03:29,25.04,91.09
13.38,2016-11-24,16:04:00,20.122,91.69
13.42,2016-11-24,16:04:30,21.772,91.93
13.2,2016-11-24,16:05:00,18.295,91.92
13.04,2016-11-24,16:05:30,21.232,91.16
13.21,2016-11-24,16:06:00,20.565,87.69
13.25,2016-11-24,16:06:30,21.546,92.13
13.07,2016-11-24,16:07:00,18.059,91.93
13.34,2016-11-24,16:07:30,21.004,92.24
13.38,2016-11-24,16:08:00,21.31,91.99
13.45,2016-11-24,16:08:30,23.978,91.77
13.37,2016-11-24,16:09:00,21.924,91.31
13.46,2016-11-24,16:09:31,20.669,91.6
13.64,2016-11-24,16:10:01,21.775,92.3
13.33,2016-11-24,16:10:31,20.942,90.54
12.41,2016-11-24,16:11:01,21.843,90.97
13.06,2016-11-24,16:11:31,21.906,90.08
12.46,2016-11-24,16:12:01,23.331,88.6
13.14,2016-11-24,16:12:31,22.569,91.68
13.25,2016-11-24,16:13:02,17.265,91.89
12.73,2016-11-24,16:13:32,18.967,91.98
12.79,2016-11-24,16:14:02,19.44,92.64
13.98,2016-11-24,16:14:33,20.452,92.61
12.96,2016-11-24,16:15:02,19.496,88.72
11.72,2016-11-24,16:15:36,23.168,92.59
12.78,2016-11-24,16:16:06,20.149,90.09
13.31,2016-11-24,16:16:37,20.882,91.76
12.56,2016-11-24,16:17:07,18.078,91.12
12.9,2016-11-24,16:17:38,17.782,91.59
12.21,2016-11-24,16:18:08,17.791,91.16
12.24,2016-11-24,16:18:47,18.988,92.35
13.1,2016-11-24,16:19:17,22.42,91.64
12.17,2016-11-24,16:19:47,20.09,90.18
12.12,2016-11-24,16:20:17,19.617,92.56
13.29,2016-11-24,16:20:50,21.881,92.11
13.95,2016-11-24,16:21:21,27.408,92.18
13.86,2016-11-24,16:21:54,19.746,92.59
14.14,2016-11-24,16:22:24,19.294,90.28
12.94,2016-11-24,16:22:54,16.853,91.57
14.15,2016-11-24,16:23:26,20.168,91.92
13.58,2016-11-24,16:23:56,20.841,90.92
13.93,2016-11-24,16:24:26,18.108,91.26
14.29,2016-11-24,16:24:56,18.108,91.39
14.17,2016-11-24,16:25:25,19.962,91.44
13.88,2016-11-24,16:25:55,19.377,92.82
14.14,2016-11-24,16:26:25,23.496,88.94
13.83,2016-11-24,16:26:54,21.449,90.21
12.74,2016-11-24,16:27:24,20.348,92.36
13.52,2016-11-24,16:27:54,19.203,92.78
13.25,2016-11-24,16:28:24,18.927,92.47
13.92,2016-11-24,16:28:55,19.406,91.51
14.42,2016-11-24,16:29:25,19.115,92.17
14.51,2016-11-24,16:29:54,19.294,92.52
13.77,2016-11-24,16:30:24,21.279,92.36
14.32,2016-11-24,16:30:54,22.478,92.23
14.06,2016-11-24,16:31:24,19.819,92.36
14.18,2016-11-24,16:31:54,22.343,92.76
14.05,2016-11-24,16:32:24,19.914,91.83
14.48,2016-11-24,16:32:54,17.355,91.17
14.47,2016-11-24,16:33:24,18.756,90.09
14.14,2016-11-24,16:33:54,20.576,91.89
13.85,2016-11-24,16:34:24,18.652,92.48
13.98,2016-11-24,16:34:56,19.985,92.25
13.88,2016-11-24,16:35:26,18.769,88.16
14.23,2016-11-24,16:35:56,21.599,92.08
14.23,2016-11-24,16:36:27,21.475,91.64
13.99,2016-11-24,16:36:57,19.02,92.49
14.31,2016-11-24,16:37:27,19.27,92.08
14.25,2016-11-24,16:37:57,19.308,90.85
14.17,2016-11-24,16:38:27,22.888,90.61
14.04,2016-11-24,16:38:57,20.148,91.76
14.16,2016-11-24,16:39:27,23.361,90.64
14.54,2016-11-24,16:39:57,19.024,92.32
14.34,2016-11-24,16:40:27,18.896,92.47
14.06,2016-11-24,16:40:57,22.571,91.68
13.94,2016-11-24,16:41:27,22.136,92.22
14.23,2016-11-24,16:41:57,19.885,89.86
10.9,2016-11-24,16:42:27,18.199,92.29
13.76,2016-11-24,16:43:00,25.933,90.3
14.24,2016-11-24,16:43:30,20.068,91.77
14.35,2016-11-24,16:44:00,19.33,92.2
14.04,2016-11-24,16:44:30,22.246,90.51
13.6,2016-11-24,16:45:01,22.346,91.5
13.99,2016-11-24,16:45:31,21.009,91.69
9.77,2016-11-24,16:46:01,21.801,92.41
13.88,2016-11-24,16:46:35,18.76,92.19
13.33,2016-11-24,16:47:05,20.999,92.24
13.64,2016-11-24,16:47:35,19.565,89.07
14.01,2016-11-24,16:48:05,25.274,90.66
13.33,2016-11-24,16:48:35,19.283,90.69
13.3,2016-11-24,16:49:05,22.689,90.53
10.63,2016-11-24,16:49:35,27.662,88.17
14.08,2016-11-24,16:50:06,17.921,89.84
14.21,2016-11-24,16:50:35,20.452,91.61
13.25,2016-11-24,16:51:05,19.624,91.1
13.84,2016-11-24,16:51:36,18.44,92.65
13.61,2016-11-24,16:52:05,24.559,89.87
13.46,2016-11-24,16:52:36,19.596,89.31
13.07,2016-11-24,16:53:05,22.922,92.58
13.74,2016-11-24,16:53:36,23.236,92.03
13.92,2016-11-24,16:54:05,26.869,92.05
13.97,2016-11-24,16:54:39,22.181,92.16
13.71,2016-11-24,16:55:11,21.874,87.18
14.14,2016-11-24,16:55:41,20.038,91.79
14.07,2016-11-24,16:56:13,21.667,91.76
14.32,2016-11-24,16:56:43,19.829,92.4
14.38,2016-11-24,16:57:13,21.561,92.23
14.01,2016-11-24,16:57:43,21.492,89.93
13.47,2016-11-24,16:58:12,21.665,91.39
13.95,2016-11-24,16:58:47,20.753,87.7
14.12,2016-11-24,16:59:17,20.777,90.52
12.75,2016-11-24,16:59:47,17.827,92.85
10.32,2016-11-24,17:00:17,22.945,90.89
14.1,2016-11-24,17:00:49,24.298,84.78
13.81,2016-11-24,17:01:19,23.326,91.54
13.54,2016-11-24,17:01:49,23.231,90.99
14.03,2016-11-24,17:02:19,20.442,92.86
13.98,2016-11-24,17:02:49,20.8,92.87
13.24,2016-11-24,17:03:19,22.576,89.72
13.69,2016-11-24,17:03:49,21.782,59.71
14.13,2016-11-24,17:04:19,20.116,92.64
14.05,2016-11-24,17:04:49,17.957,91.9
14.39,2016-11-24,17:05:21,21.972,75.13
14.22,2016-11-24,17:05:53,20.029,92.59
13.91,2016-11-24,17:06:23,22.818,90.7
14.36,2016-11-24,17:06:53,21.137,92.39
14.51,2016-11-24,17:07:23,18.715,87.05
14.46,2016-11-24,17:07:53,21.525,92.27
14.1,2016-11-24,17:08:23,22.539,89.43
14.04,2016-11-24,17:08:54,20.492,91.57
13.4,2016-11-24,17:09:23,21.133,91.77
13.46,2016-11-24,17:09:53,19.242,89.64
12.97,2016-11-24,17:10:23,22.424,92.48
13.34,2016-11-24,17:10:53,26.1,91.59
13.87,2016-11-24,17:11:24,20.906,92.65
14.24,2016-11-24,17:11:56,18.261,91.82
14.06,2016-11-24,17:12:25,17.306,92.21
14.09,2016-11-24,17:12:56,19.516,92.62
14.03,2016-11-24,17:13:25,23.181,92.09
13.88,2016-11-24,17:13:55,18.527,90.63
13.95,2016-11-24,17:14:26,21.381,92.42
14.07,2016-11-24,17:14:55,28.074,90.22
13.92,2016-11-24,17:15:25,19.97,73.08
14.34,2016-11-24,17:15:57,18.716,90.04
13.92,2016-11-24,17:16:27,17.808,92.61
13.96,2016-11-24,17:16:57,20.901,92.51
14.17,2016-11-24,17:17:27,20.174,92.42
14.45,2016-11-24,17:17:57,19.41,92.51
13.68,2016-11-24,17:18:26,21.159,92.04
13.59,2016-11-24,17:18:57,20.884,91.68
14.02,2016-11-24,17:19:26,19.361,92.78
14.13,2016-11-24,17:19:56,19.876,91.3
13.98,2016-11-24,17:20:26,18.166,92.02
14.18,2016-11-24,17:20:56,19.458,91.07
13.78,2016-11-24,17:21:26,19.117,91.26
13.19,2016-11-24,17:21:56,19.55,91.95
13.74,2016-11-24,17:22:28,20.761,91.77
13.69,2016-11-24,17:22:58,20.058,91.57
13.6,2016-11-24,17:23:28,18.755,92.32
13.75,2016-11-24,17:23:59,19.283,88.73
13.58,2016-11-24,17:24:29,30.099,87.21
14.02,2016-11-24,17:25:04,24.125,91.68
14.24,2016-11-24,17:25:34,20.012,92.05
13.8,2016-11-24,17:26:05,23.519,91.84
14.18,2016-11-24,17:26:35,17.702,92.6
13.78,2016-11-24,17:27:05,20.02,91.82
14.08,2016-11-24,17:27:34,19.83,91.07
13.84,2016-11-24,17:28:05,23.013,92.07
14.22,2016-11-24,17:28:35,21.437,90.4
13.99,2016-11-24,17:29:05,19.121,91.86
12.3,2016-11-24,17:29:36,22.998,91.89
9.21,2016-11-24,17:30:06,76.528,91.42
7.73,2016-11-24,17:30:43,66.9,88.89
8.21,2016-11-24,17:31:15,62.229,90.37
6.21,2016-11-24,17:31:47,62.836,91.56
8.21,2016-11-24,17:32:18,56.454,80.52
14.24,2016-11-24,17:32:50,44.51,91.38
14.16,2016-11-24,17:33:24,21.168,91.33
14.11,2016-11-24,17:33:54,18.95,91.77
13.84,2016-11-24,17:34:24,20.068,92.27
14.11,2016-11-24,17:34:54,22.003,90.48
13.14,2016-11-24,17:35:24,22.341,89.54
14.19,2016-11-24,17:35:53,22.414,91.48
13.78,2016-11-24,17:36:23,19.366,92.48
14.05,2016-11-24,17:36:53,18.854,91.63
14.33,2016-11-24,17:37:23,18.137,92.32
13.84,2016-11-24,17:37:53,23.203,92.35
14.11,2016-11-24,17:38:23,25.659,90.97
14.25,2016-11-24,17:38:53,21.342,91.75
14.27,2016-11-24,17:39:22,19.416,89.66
14.49,2016-11-24,17:39:53,20.924,91.57
13.89,2016-11-24,17:40:22,18.632,91.99
14.31,2016-11-24,17:40:55,21.057,92.24
13.78,2016-11-24,17:41:25,25.258,92.31
14.26,2016-11-24,17:41:55,21.565,91.53
13.76,2016-11-24,17:42:25,20.514,92.27
13.6,2016-11-24,17:43:01,21.027,90.41
14.03,2016-11-24,17:43:31,19.978,91.7
14.3,2016-11-24,17:44:01,17.708,91.62
14.27,2016-11-24,17:44:31,21.897,88.53
14.15,2016-11-24,17:45:01,20.145,92.39
14.12,2016-11-24,17:45:31,20.559,91.75
14.09,2016-11-24,17:46:00,20.27,92.37
14.16,2016-11-24,17:46:30,19.548,89.24
13.76,2016-11-24,17:47:00,19.444,72.95
13.4,2016-11-24,17:47:32,20.496,92.41
13.68,2016-11-24,17:48:02,17.816,92.41
13.88,2016-11-24,17:48:32,20.223,92.27
13.89,2016-11-24,17:49:04,20.649,90.04
13.87,2016-11-24,17:49:34,21.587,90.4
14.21,2016-11-24,17:50:07,20.607,92.12
14.04,2016-11-24,17:50:37,18.599,91.89
14.04,2016-11-24,17:51:07,21.216,91.05
14.07,2016-11-24,17:51:37,19.968,89.19
14.06,2016-11-24,17:52:07,20.245,92.02
13.76,2016-11-24,17:52:37,20.592,92.59
13.88,2016-11-24,17:53:07,20.502,91.11
14.18,2016-11-24,17:53:37,18.1,89.88
13.93,2016-11-24,17:54:08,18.842,92.01
14.13,2016-11-24,17:54:38,18.914,90.04
14.13,2016-11-24,17:55:08,19.557,90.5
14.14,2016-11-24,17:55:37,20.483,92.08
13.95,2016-11-24,17:56:11,19.929,90.45
14.16,2016-11-24,17:56:41,20.102,91.52
14.31,2016-11-24,17:57:13,20.588,90.18
13.62,2016-11-24,17:57:43,18.254,89.11
13.49,2016-11-24,17:58:13,20.47,92.62
13.62,2016-11-24,17:58:42,21.694,92.61
14.44,2016-11-24,17:59:12,20.484,91.0
14.11,2016-11-24,17:59:43,23.434,91.51
8.5,2016-11-24,18:00:13,24.961,88.51
13.9,2016-11-24,18:00:44,20.062,91.08
14.46,2016-11-24,18:01:14,17.464,88.37
14.0,2016-11-24,18:01:45,20.219,90.26
14.55,2016-11-24,18:02:15,18.363,92.06
14.46,2016-11-24,18:02:45,21.175,92.59
14.27,2016-11-24,18:03:14,19.994,91.78
14.42,2016-11-24,18:03:44,26.073,90.23
14.44,2016-11-24,18:04:14,21.29,83.78
14.05,2016-11-24,18:04:44,19.106,91.87
14.21,2016-11-24,18:05:14,19.948,91.99
14.21,2016-11-24,18:05:43,19.766,92.0
14.06,2016-11-24,18:06:13,20.605,90.61
14.13,2016-11-24,18:06:43,20.542,92.51
9.55,2016-11-24,18:07:13,20.061,92.09
14.18,2016-11-24,18:07:44,19.83,88.75
13.98,2016-11-24,18:08:14,22.949,87.02
14.12,2016-11-24,18:08:46,22.737,90.1
14.19,2016-11-24,18:09:16,19.155,92.51
14.12,2016-11-24,18:09:46,19.435,92.37
14.45,2016-11-24,18:10:16,19.733,90.16
14.13,2016-11-24,18:10:46,21.347,90.8
14.5,2016-11-24,18:11:16,21.858,91.46
14.34,2016-11-24,18:11:45,18.934,90.05
14.23,2016-11-24,18:12:15,18.917,85.75
13.97,2016-11-24,18:12:45,20.914,90.17
13.9,2016-11-24,18:13:15,26.676,89.66
13.48,2016-11-24,18:13:45,24.697,88.2
8.51,2016-11-24,18:14:19,18.138,90.84
13.85,2016-11-24,18:14:50,21.394,89.07
13.98,2016-11-24,18:15:20,19.796,91.62
13.53,2016-11-24,18:15:50,21.959,90.22
13.75,2016-11-24,18:16:20,20.708,90.85
14.33,2016-11-24,18:16:49,17.668,87.63
8.15,2016-11-24,18:17:19,24.898,91.07
8.28,2016-11-24,18:17:49,52.332,89.89
7.76,2016-11-24,18:18:20,54.844,90.89
